name,brewery,percentage,volume
Subbe Bryggeri,Subbe Bryggeri,8.5,330
Reinklou Bryggerier,Reinklou Bryggerier,7.9,330
Rådanäs,Rådanäs Bryggeri,6.3,330
Kumlagård Vit,Mälardalen Brewing Company,5.4,330
Snörsjö hantverksbryggeri,Snörsjö hantverksbryggeri,6,330
Fruktrocket,Rocket Brewing Company,6.5,330
Warbergs After Beach,Byaregårdens Brygghus,5,330
Cherry Me,Subbe Bryggeri,5,330
Bäckefors Lager,Brukskällan Dalsland,5.2,330
Suttungs,Suttungs Bryggeri,12.5,750
Beersmiths,Beersmiths,43,500
En Aleigen Brewery,En Aleigen Brewery,5.2,330
Fryksdalens Bryggeri,Fryksdalens Bryggeri,5.5,330
Eskilstuna Ölkultur,Eskilstuna Ölkultur,4.8,330
Pilsner,Subbe Bryggeri,4.8,500
Beerium Kraftölsbryggeri,Beerium Kraftölsbryggeri,12,330
Roslagens,Roslagens Brygghus,5,330
Flädie Vingård och Vinproduktion,Flädie Vingård och Vinproduktion,12.5,1500
Arkipelager,Karlskrona Mikrobryggeri,5.2,330
Funky Chicken,U and Me Beer,6.8,330
Stallarholmens Brygghus,Stallarholmens Brygghus,5.6,500
Stand by me,Leufstabruk Bryggeri,7.2,330
KB Rock,Kullens Bryggeri,5.8,330
Skogsröj Pale Ale,Snörsjö hantverksbryggeri,5.2,330
Roslags Näsby Bryggeri,Roslags Näsby Bryggeri,4.5,330
Wannborga Gin,Wannborga på Öland,40,500
Österlen Dunkel,ÖsterlenBryggarna Anno 1953,5,330
Skog,Tell Collection,5.6,330
Skedemosse Gårdsbryggeri,Skedemosse Gårdsbryggeri,4.8,500
Boge Bränneri,Boge Bränneri,39.4,500
Spriteriet,Spriteriet,17,500
Helsingborgs,Helsingborgs Bryggeri,8.1,330
Thundermother,Wessingekälla Brygghus,5.5,330
Eclipse Wired Lager,The Beer Factory Leksand,5.2,330
1916,Stjernsund Brygghus,9,330
Håga,Uppsala Destilleri,37.5,500
Boilers Stout,Viken Bryggeri,8.6,330
Come Together,Pomologik,6.9,750
Särö,Säröbanans Bryggeri,5,330
Linné,Säröbanans Bryggeri,5,330
Pax Brygghus,Pax Brygghus,5.5,330
Winter Island Stout,Vega Bryggeri,8,330
Tegel,Ödåkra Brygghus,5,330
Express,Kustens Gårdsbryggeri,5.6,330
Me And My Raz,Lakeside Brewery,4.5,330
Charlis,Charlis Brygghus,4.6,330
Boge Bränneri,Boge Bränneri,33.3,500
Byaregårdens Baby,Byaregårdens Brygghus,5.7,330
Langweg,Kullabergs Vingård,14,750
Wetterstadens Bryggeri,Wetterstadens Bryggeri,5.3,330
Österlenvins Vida,Österlenvin,12.5,500
Skedemosse,Skedemosse Gårdsbryggeri,40,500
Lennarts Julbäsk,Ability Drinks,40,200
Gotlands Ginfabrik,Gotland Gin Distillery,20.8,500
Uppsala Brygghus,Uppsala Brygghus,11.5,330
Äpplesnaps,Bryggeri 1766,40,500
Kackelstugan,Kackelstugan,5.2,330
Reinklou Bryggerier,Reinklou Bryggerier,6.2,330
Subbe Bryggeri,Subbe Bryggeri,7,330
Brekeriet Beer,Brekeriet Beer,6.5,375
Gotlands Ginfabrik,Gotland Gin Distillery,32.4,500
Brukskällan Dalsland,Brukskällan Dalsland,4.7,330
Ölbryggeriet,Ölbryggeriet,7.2,330
Allsta,Allsta Bryggeri,8,330
Ölbryggeriet,Ölbryggeriet,5.6,330
Wetterstadens Bryggeri,Wetterstadens Bryggeri,5.3,330
Ahlafors Päron,Ahlafors Bryggerier,4.5,330
Cider 22,Bryggeri 1766,6,330
1766,Bryggeri 1766,40,500
Bryggeri 1766,Bryggeri 1766,4.5,330
Bustad Brewing,Bustad Brewing,10,330
Ölbryggeriet,Ölbryggeriet,6,330
Rocket Brewing,Rocket Brewing Company,6.5,750
Buustasup,Buustamons Bränneri,36,700
Grebbestad,Grebbestads Bryggeri,5,330
Charlis Bayer,Charlis Brygghus,5.7,330
Strandlida Bryggeri,Strandlida Hopspace,5.8,500
Gammelbacka,Gammelbacka Bryggeri,7.4,330
Lockeby Havsbris,Lockeby Bryggeri,5,330
Rådanäs Alter Ego,Rådanäs Bryggeri,4.9,330
von Dübens Punsch,Vistakulle Fruktodling,26,500
Tjärven,Västergården Bryggeri,8,330
Qvänum,Qvänum Mat & Malt,40.6,500
Balder,Walhöll Brygghus,6.8,330
Hopplärka 2.0 IPA,Bryggeri 1766,7,330
Neighbours Choice,Viken Bryggeri,5.8,330
Viken Bryggeri Pilsner,Viken Bryggeri,4.6,330
Waxholm Mörk Lager,Waxholms Bryggeri,5.4,330
Barlingbo Bryggeri,Barlingbo Bryggeri,4.5,330
Bröderna Bommen,Bröderna Bommen,5.1,330
Alnö Pale Ale,Alnöl,5.2,330
Ahlafors Artisan Lager,Ahlafors Bryggerier,4.7,330
Reenstierna,Ferna Forge Brewery,5,330
Kilsbergen Gin,Svensk Absint,42,700
Dalslands Lager,Torrskogs Källarbryggeri,5,330
Dalslands IPA Revolt,Torrskogs Källarbryggeri,6.3,330
Bergslagens,Bergslagens brygghus,11,750
Blondinen Från Staun,Bracino,5.2,330
Ölbryggeriet,Ölbryggeriet,4.6,330
Fly away on my sofa,Hop Shed Brewery,7,330
Eightysix,Sad Robot Brewing Co,6.4,330
Blacklight,Emmaboda Bryggeri,9.5,330
Gotland,Gotland Spirits,43,500
Håga,Uppsala Destilleri,37.5,500
Vega Bryggeri,Vega Bryggeri,5.5,330
Vindelälvens Lager,Vindelälvens Bryggeri,4.8,330
Nacka XXL Dessertöl,Nacka Bryggeri,18.1,330
Stallarholmens Brygghus,Stallarholmens Brygghus,5.6,330
Perfectly Squared Brewing,Perfectly Squared Brewing,5.3,330
Fulltofta Dag,Fulltofta Gårdsbryggeri,4.9,330
Tempeldos,Tempel Brygghus,40,500
Ryssby,Ryssby bryggeri,6.2,330
Down Under,Karlskrona Mikrobryggeri,5.8,330
Golden Ale,Karlskrona Mikrobryggeri,5.1,330
Tänndalen Hoppy Lager,Härjebrygg,5.2,330
Bränneribolagets,AB Svenska Bränneribolaget,44,500
Carlshamns Oktoberfest,Brygghus 19,5,330
Ocean Oktoberfest,Oceanbryggeriet,5.4,330
Gin & Us,Gin & Us Distillery,44,700
Götaälvdalens Brygghus,Götaälvdalens Brygghus,4.8,330
Björka Brygghus,Tell Collection,5.5,330
Rättviks Bryggeri,Tell Collection,5.5,330
Scandinavian Gin Sessions,Sahlins Brygghus,40,500
Ego 6,Vingården i Klagshamn,15,750
Spirit of Hven,Backafallsbyn AB, Spirit of Hven,41.8,500
Bergslagens,Nordic Distiller AB,57,500
Alnö,Alnöl,42,500
Gin & Us,Gin & Us Distillery,43,500
En Aleigen Brewery,En Aleigen Brewery,6.5,330
Scandinavian Gin,Sahlins Brygghus,40,500
Liebe Jetzt,Ölbryggeriet,4.8,330
Rådanäs Ölgäris Old School West Coast,Rådanäs Bryggeri,6.7,330
Mad distillers Vodka,Uppsala Destilleri,37.5,500
Ödåkra,Ödåkra Brygghus,6,330
137:ans Arak,137:ans Beer & Spirits,46.9,500
Perfectly Squared Brewing,Perfectly Squared Brewing,4.7,330
137:ans,137:ans Brygghus,4.9,330
O/O #200,O/O Brewing,12.8,330
Roslags Näsby Bryggeri,Roslags Näsby Bryggeri,12,330
One,Vingården i Klagshamn,17.5,750
Snaps & Us,Gin & Us Distillery,38,700
Fulltofta Gin #17,Bryggeri 1766,41,500
Roslags Näsby Bryggeri,Roslags Näsby Bryggeri,4.7,330
Ragnarök Rökporter,Walhöll Brygghus,6.3,330
Vild Jätten,Härjedalens bryggeriaktiebolag,6.8,330
Lucious Loo,Noisy Bastards Brewing Company,5.3,330
Lager than life,RajRaj Bryggeri,5,330
Vreta Kloster Nanobryggeri,Vreta Kloster Bryggeri,8.8,330
Pure Vodka,Brygga Bränneri,37.5,500
Community Beer IPA,Åre Bryggcompagni,6,330
Snörsjö,Snörsjö hantverksbryggeri,5,330
Kaleidoscope,Subbe Bryggeri,6.5,330
Verkligen Stout,En Aleigen Brewery,5.6,330
Skurugata Lager,Wetterstadens Bryggeri,4.5,330
Brödernas,Orsholms Brygghus,5,330
Brödernas,Orsholms Brygghus,6.2,330
Kompaniets Pilsner,Trosa Ölkompani,4.6,330
Fyrvaktaren,Bryggeriaktiebolaget Nya Victoria,4.2,330
Hantverksbryggeriet,Hantverksbryggeriet,5,330
Pax Brygghus,Pax Brygghus,4.5,330
Hovås Lager,Säröbanans Bryggeri,5.1,330
Fors Bryggeri,Fors Bryggeri,8,330
Emmacider,Emmaboda Bryggeri,4.2,330
Kallholmen Levande Julöl,Skellefteå Bryggeri,5.9,330
Grebbestad Julbock,Grebbestads Bryggeri,7.5,330
Stinsens Suveräna,Hönsinge Hantwerksbryggeri,4.7,330
Roslagens,Roslagens Brygghus,5.2,330
Trosa Ölkompani,Trosa Ölkompani,6.5,330
Kvarnen Pale Ale,Figeholms Bryggeri,5.3,330
Revsunds Distillery,Revsunds Brewery,43,500
Lockeby Inlandsis,Lockeby Bryggeri,8.3,330
Pale Ale,Södra Stockholms Brygghus,4.8,330
Kungälvs-Pilsner,En Aleigen Brewery,4.5,330
Helsingborgs Moonshine,Helsingborgs Bryggeri,43,500
137:ans Gin,137:ans Beer & Spirits,40,500
Stomping Grounds DIPA,Åre Bryggcompagni,7.7,330
Fruktstereo,Fruktstereo,6.5,750
Svensk Vermouth,Spriteriet,17,500
En Aleigen Brewery,En Aleigen Brewery,6.5,330
Wolkes,AB Wolkes Punsch,26.5,500
Roslagens Julbrygd,Roslagens Brygghus,5.6,330
Perfectly Squared Brewing,Perfectly Squared Brewing,6.3,330
Götaälvdalens,Götaälvdalens Brygghus,10.5,330
Pulp,Fruktstereo,7,750
En Aleigen Brewery,En Aleigen Brewery,5.9,330
Ability Brewing,Ability Brewing,11,250
Örebro Brygghus,Örebro Brygghus,9.5,330
Tektor,Gotland Spirits AB,42,500
Götaälvdalens Brygghus,Götaälvdalens Brygghus,4.5,330
Götaälvdalens Brygghus,Götaälvdalens Brygghus,8,330
Perfectly Squared Brewing,Perfectly Squared Brewing,4.6,330
Eldfamnes,Dala Destilleri,40,500
Reinklou,Reinklou Bryggerier,5.8,330
En Aleigen,En Aleigen Brewery,6.2,330
Perfectly Squared,Perfectly Squared Brewing,5.8,330
En Aleigen Brewery,En Aleigen Brewery,6.2,330
Perfectly Squared,Perfectly Squared Brewing,5.8,330
137 Telge Brygghus,137:ans Brygghus,7.4,330
Leufsta Blonde,Leufstabruk Bryggeri,6,330
Gotlands Bryggeri,Gotlands Bryggeri,8.4,330
Qvänum Aquavit,Qvänum Mat & Malt,39,500
Lilla Spritfabrikens,Lilla Spritfabriken,42.6,500
Byaregårdens,Byaregårdens Brygghus,6.4,330
Rådanäs Bourbon Mash Beer,Rådanäs Bryggeri,6.7,330
Skoklosters Fläder,AB Svenska Sprit TBH,38,500
Stenborgare,Långviks Krydderi & Handel,38,500
Rådanäs Porter,Rådanäs Bryggeri,5.6,330
Sav,Savhuset Åre,38,500
Charlis nya ängland,Charlis Brygghus,6.9,330
The Gathering,Snörsjö hantverksbryggeri,5,330
Coppersmith's,Coppersmith's,3.8,500
Ädelvän,Flädie Vingård och Vinproduktion,9.5,500
Köttkoma,Ability Drinks,5,330
Blåbergen Veteöl,Blåbergen Bryggeri,5.5,330
Bränneribolagets,AB Svenska Bränneribolaget,44,500
Fermenteriets,Fermenteriet,5.3,330
Southeast IPA,Anno 1953,6.5,330
Tuco,Helsingborgs Bryggeri,5.3,330
Sav,Savhuset Åre,11.5,750
Älvsby,Nyckelbryggerier,5.1,330
Östersunds Nya Ångbryggeri,Östersundsbryggerier,5.6,330
Supporter,Ödåkra Brygghus,5.6,330
Pregare,Ödåkra Brygghus,5.4,330
MargarIPA,Hopsie Daisy Brewing Company,6,330
Moucider,Östgötaslätten produktion,8.4,750
Lively Lager,Gamla Hesselby Bryggeri,5,330
Strandlida Bryggeri,Strandlida Hopspace,4.2,330
Wessinge Brygghus,Wessingekälla Brygghus,7.2,330
Figeholmspilsner,Figeholms Bryggeri,4.7,330
Humlebomb,Kullens Bryggeri,9.8,330
Lager,Södra Stockholms Brygghus,5.4,330
Light & Delicious,Wet Whistle Brewery,5.3,330
Fyren,Bryggeriaktiebolaget Nya Victoria,6.4,330
Rosenhill,Bryggeri Rosenhill,5,330
Original,Tornio Panimo,5.2,330
GefleBockens Bryggeri,GefleBockens Bryggeri,5,330
Lazy NEIPA,Kullens Bryggeri,8.4,330
Rosé Vermouth,Spriteriet,17,500
KB IPA,Kullens Bryggeri,5.6,330
Naturalis,Vingården i Klagshamn,14,750
Erken Gin,Erken Spirits,41.5,700
Åre Bryggcompagni,Åre Bryggcompagni,5.2,330
Tour de FRUKT,Fruktstereo / Veritabel Vin,5.5,750
Gutevin,Gute Vingård,12,750
Wannborga,Wannborga på Öland,19,500
Lundaskogs Gin,Bryggeri Stenstugan,47.5,500
KELLER #21,Bryggeri 1766,5.2,330
Vesper,En Aleigen Brewery,6.5,330
GIN #43,Bryggeri 1766,43,500
Red Grape Pyment,Malmö Meadery,12,500
LISCH Brännvin,Triplusvin,32,500
Alnö,Alnöl,42,500
Wiksfors,Wiksfors Bryggeri AB,6,330
Xenophobia,En Aleigen Brewery,10.2,330
Ölbryggeriet,Ölbryggeriet,6,330
Harry,Länna Bruk Dryckeshandel,15,750
Fryken Äppelöl,Västra Ämterviks Bryggeri,4.5,330
Season Ale,Gamla Hesselby Bryggeri,5.7,330
Blåbergen,Blåbergen Kraft & Hälsa AB,6.5,330
Wannborga,Wannborga på Öland,57.5,500
Volt,Stjernsund Brygghus,4.8,330
Mary Rose,Kurjovikens Bränneri,40,500
Gutevin,Gute Vingård,12,750
Bryggeri 1766,Bryggeri 1766,4.6,330
Brekeriet Vildsprit Akvavit,Brekeriet Beer,38,500
Burner Brew American Pale Ale,Prins Katts Hantverksöl,5.6,330
Kellerbier,Subbe Bryggeri,6,330
Gotland Spirits,Gotland Spirits,40,500
Helsingborgs,Helsingborgs Bryggeri,8.2,330
Prins Katt,Prins Katts Hantverksöl,7,330
Korpen,Härjedalens bryggeriaktiebolag,8.2,330
Non Plus Ultra,Stallarholmens Brygghus,6.1,330
Högtryck 1032 mbar,Bryggeri 1766,4.5,330
Rogue Rye India Pale Ale,Mälardalen Brewing Company,5.6,330
Tokyo Lager,Vareböke Bryggeri,4.5,330
No. 6,Reinklou Bryggerier,7.1,330
LundgrenPK,Tjärnsjö Brewery,4.8,330
Brygglabbet,Brygglabbet,8.5,330
Svenska Högarna Ale,Västergården Bryggeri,4.8,330
Burgsviks Bryggeri Dricku,Burgsviks bryggeri,6,330
Lundaskogs IPA,Bryggeri Stenstugan,6.7,330
Solaris,Vingården Stora Boråkra,12.5,500
Scandinavian Spruce,ÖsterlenBryggarna Anno 1953,5,330
Winter Island Ale,Vega Bryggeri,5.6,330
Sibbarps Husbryggeri,Sibbarps Husbryggeri,6,500
Fulltofta,Fulltofta Gårdsbryggeri,7.4,330
Hunter Pale Ale,Tjärnsjö Brewery,5.5,330
Värmdö Craft Cider,Värmdö Bryggeri,4.5,330
Nacka Wit Ingefära,Nacka Bryggeri,5.4,330
Vindhem Vete,Alnöl,5.4,330
Mill Gin,Vinolin,40,500
Strandlida Bryggeri,Strandlida Hopspace,6.1,330
Solaris,Mellby nr 5 Vingård,12.5,500
Barley Wine,Beersmiths,10.5,330
Pax Lab,Pax Brygghus,6,330
Åhus,Åhus Vingård,12,500
Götaälvdalens Brygghus,Götaälvdalens Brygghus,5.6,330
Klackabackens Bryggeri,Klackabackens Bryggeri,12,250
Jesper Friberg,Jesper Friberg,10,750
Fjällbacka Gin,Vinolin,40,500
London Dry Gin,Vinolin,40,500
Havtorns Snaps,CCs Havtorns Delikatesser,40,500
Bergslagens Destilleri,Bergslagens Destilleri Örebro,55,500
Wista Härads Apel,Vistakulle Fruktodling,40,500
Slottskällan,Gamla Slottskällans Bryggeri,6.5,330
Beerium Kraftölsbryggeri,Beerium Kraftölsbryggeri,5.6,330
Bröderna Bommen,Bröderna Bommen,41,500
Norrbottens Destilleri,Norrbottens Destilleri,15,500
Hantverksbryggeriet,Hantverksbryggeriet,12.5,330
Bryggeri 1766,Bryggeri 1766,5.6,330
Bränneribolagets,AB Svenska Bränneribolaget,38,500
Brygga Jul Gin,Beersmiths,43,500
Eldfamnes Gin,Dala Destilleri,42,500
Emmaboda Bryggeri,Emmaboda Bryggeri,5.6,330
Åhus,Åhus Vingård,15.5,200
Brygglabbet,Brygglabbet,5,330
Gin & Us,Gin & Us Distillery AB,62,700
Ability Brewing,Ability Brewing,11,250
MJs Bryggeri AB,MJs Bryggeri AB,9.7,330
Tjärnsjö Brewery,Tjärnsjö Brewery,6.5,330
Brygglabbet,Brygglabbet,3.6,330
Kosta,Kosta boda art hotel,39,500
Kosta,Kosta boda art hotel,42,500
Proton Brewery,Proton Brewery,4.7,330
Chateau Nubbgatan Red,FRUKTSTEREO,7,750
To Øl,To Øl City,11.3,375
Pomologik,Pomologik,4.5,750
Åhus Bobblor,Åhus Vingård,12.5,750
The Odd House,The Odd House Brewing Company,8.5,330
To Øl,To Øl City,11.7,375
Lennarts Snaps,Ability Drinks,40,200
Tjärnsjö,Tjärnsjö Brewery,6.5,330
Chateau Nubbgatan,FRUKTSTEREO,7,750
Chateau Nubbgatan,Fruktstereo / Veritabel Vin,9.5,750
Frillestad,Frillestads Vingård,12,500
Ability,Ability Brewing,5.8,750
Spriteriet,Spriteriet,20,500
Åhus Vingård,Åhus Vingård,11,750
Åhus Vingård,Åhus Vingård,12.5,750
The Winery Red,The Winery Hotel,14,750
Gammelbacka,Gammelbacka Bryggeri,4.6,330
Gutevin Gotlandssnaps,Gute Vingård,40,500
Gammelbacka En go en,Gammelbacka Bryggeri,5,330
Bålsta Akvavit,AB Svenska Sprit TBH,38,500
Charta 77s Punköl,Strömsholms Brygghus,4.5,500
Strane,Smögen Whisky,47.4,500
Valkyria,Walhöll Brygghus,5.5,330
Charlis,Charlis Brygghus,7,330
Solnäs,Kiviks Musteri,4,275
Brewing Költur,Brewing Költur,5.7,750
Citron och Fläder WIT,Josefin Lagerhorn,4.5,330
Heritage Gin,Lesk mikrobryggeri,40,500
Sibbarps,Sibbarps Husbryggeri,5.7,500
Charlis Brygghus,Charlis Brygghus,6.5,330
Nacka California Lager,Nacka Bryggeri,5,330
Nacka Mexican Lager,Nacka Bryggeri,5,330
Kiruna Bryggeri,Kiruna Bryggeri,5.2,330
Häxkitteln Hel,The Odd House Brewing Company,8,330
No. 5,Reinklou Bryggerier,8.2,330
Slottskällan Nisse,Gamla Slottskällans Bryggeri,5.3,330
Selaön Lager,Stallarholmens Brygghus,6.1,330
Jarlens Öl,Hönsinge Hantwerksbryggeri,4.6,330
Myntmästarens Mörka,Hönsinge Hantwerksbryggeri,5,330
Fjäderholmarnas,Fjäderholmarnas Bryggeri,12,330
The Piraya Brewery,The Piraya Brewery,5.2,330
Glabo GSB,Glabo Gårdsbryggeri,6.1,330
Blåbergen,Blåbergen Bryggeri,5.6,330
Blåbergen,Blåbergen Bryggeri,5.6,330
Roddarmadams Rustika,Hönsinge Hantwerksbryggeri,8.5,330
Falu Gin,Falu Bränneri,57.1,500
Limhamns Mörk Lager,Limhamns Bryggeri,5,330
Lövnäs,Lövnäs Bryggeri,5,330
Tjelvar's Legacy,Lost Island Brewery,6.4,330
Löta Legends,Tjärnsjö Brewery,7.9,330
Pan de muerto,Strandlida Hopspace,5.2,330
Bränneri i Åre,Bränneri i Åre,38,700
Karls Lager,Hjo Öl,5.5,330
Mälardalen Brewing Company,Mälardalen Brewing Company,6.5,330
Perfectly Squared Brewing,Perfectly Squared Brewing,5.5,330
Fräkne Tång,Klocktornet Destilleri,57,500
Perfectly Squared Brewing,Perfectly Squared Brewing,5.6,330
Glabo Lager,Glabo Gårdsbryggeri,6.4,330
Sanctuary,Hattmakarens Bryggeri,10,330
Utopia,En Aleigen Brewery,5.3,330
Vitre,Ölbryggeriet,5.6,330
Draupner,Kornheddinge BryggeriKompani,5,330
Autumna Festum,Perfectly Squared Brewing,5.6,330
Aleigen Brewery,En Aleigen Brewery,5.6,330
RajRaj,RajRaj Bryggeri,5.5,330
Arabian nights,Uppsala Brygghus,10.5,330
Glou Glou Goo,Stockholm Brewing X Fruktstereo,5.5,375
Fenix,Fenix Brewery,8,330
Nero Imperial Chilistout,Imperiebryggeriet,10,330
Sharp Teeth Lager,Wermlands Brygghus,5.2,330
Fjäre,Fieruaas Distillery,57,500
Roslags Kaffelikör,Norrtelje Brenneri,24,500
Boden Gin,Bodens Spritfabrik,43,700
Grebbestad Jul Ale,Grebbestads Bryggeri,5.6,330
Dugges Saffron,Dugges Bryggeri,12,330
Munklägrets,Munklägrets Microbrasserie,4.6,330
The Odd House,The Odd House Brewing Company,6,330
Wiksfors,Wiksfors Bryggeri AB,5.4,330
Bonalumi Bottlers,Bonalumi Bottlers,43,500
Långhalsen Pils,Bryggeri Stör/ Rotang,4.7,330
Gotland Botanical,Gotland Spirits,43,500
Lövnäs,Lövnäs Bryggeri,4.8,330
Skrea Backe,Skrea Backe Destilleri,38,500
Frejas Tårar,Flying Guru Brewery,39,500
Vinter Sol,Flying Guru Brewery,42,500
Souvenir Trosa Snaps,Spirits of Trosa,40,200
Lövnäs Bryggeri,Lövnäs Bryggeri,6.5,330
Vikesnaps,Rödö Bryggeri AB,38,500
Vilda Bryggeri,Vilda Bryggeri,5.6,375
Mick & Jack Skånsk Hantverksgin,Bryggeri 1766,43,500
Hantverksbryggeriet,Hantverksbryggeriet,6,330
Mango Mange,Ölbryggeriet,6,330
Fermenteriet,Fermenteriet,5.6,330
Kjell,Fulltofta Gårdsbryggeri,5.1,330
Lule Dry Gin,Lule River Distillery,42,500
Plumenian Rhapsody,Fruktstereo / Veritabel Vin,5.5,750
Beerium Kraftölsbryggeri,Beerium Kraftölsbryggeri,7,330
SKNY BTCH,Savings Mat & Dryck AB,14.9,500
SKNY BTCH,Savings Mat & Dryck AB,14.9,500
Beer Monkey,Beer Monkey,4.7,330
Wiksfors,Wiksfors Bryggeri AB,5.9,330
Torstad,Torstad B&D AB,43.5,500
The MVP,Fruktstereo,5.5,750
Mick & Julia,Bryggeri 1766,4.5,330
Kong,Beer Monkey,8,330
Dalabryggeri,Snickerivägens Bryggeri,7,330
Mälardalen Brewing Company,Mälardalen Brewing Company,8.1,330
Kurjovikens Stormiga Dry Gin,Kurjovikens Bränneri,43,500
Fulltofta Natt,Fulltofta Gårdsbryggeri,5.1,330
Djinn,Tempel Brygghus,40,500
Ahlafors Fabrikator,Ahlafors Bryggerier,8,330
Rödö,Rödö Bryggeri AB,5,330
Spill,Gotland Spirits,40,500
Spill,Gotland Spirits,21,500
Kask,Brygghus 19,19.5,500
Under The Velvet Sun,Jädraås Bryggeri,6.3,330
Häxkitteln Nornorna Verdandi,The Odd House Brewing Company,6,330
Håga Oaked gin,Uppsala Destilleri,43.5,500
Fenix Fruity Pear Cider,Fenix Brewery,4.5,330
Fjäre,Fieruaas Distillery,40,500
Österlen Färsköl,ÖsterlenBryggarna Anno 1953,5,330
The Odd House Brewing Company,The Odd House Brewing Company,6,330
Sweet Lovin,Snörsjö hantverksbryggeri,4.6,330
Britney´s Pears,Fruktstereo,5,330
The Odd House Brewing Company,The Odd House Brewing Company,4,330
Akka,Boge Bränneri,38,500
Sörmlands,Bryggeri Stör/ Rotang,5.5,330
Snöbollsgatan,Ödåkra Brygghus,5.6,330
Fjäre,Fieruaas Distillery,45,500
Bonafide Fill Your Head,Wessingekälla Brygghus,5,330
Uppsala Destilleri,Uppsala Destilleri,46,500
Gotland Spirits,Gotland Spirits,40,500
Fatlagrad Gin,Gotland Spirits,43,500
Riktigt Bra Lager,Tjärnsjö Brewery,5.8,330
Red Black,Hattmakarens Bryggeri,4.5,330
Nacka Baltic Porter,Nacka Bryggeri,10.1,330
Kiruna Bryggeri,Kiruna Bryggeri,7.8,330
Brekeriet Vildsprit Enbär,Brekeriet Beer,42,500
Aniara Barrique,Flädie Vinproduktion,14.5,750
Revsunds Distillery,Revsunds Brewery,40,500
Scandinavian Gin Sessions,Sahlins Brygghus,40,500
Wessinge Brygghus,Wessingekälla Brygghus,10.1,330
Kiruna Bryggeri,Kiruna Bryggeri,7.8,330
This is HOW,This is HOW Brewery,4.5,330
Rosenhill Plethora,Bryggeri Rosenhill,11,250
Scandinavian Gin Sessions,Sahlins Brygghus,42.5,500
Kiruna Bryggeri,Kiruna Bryggeri,4.9,330
The Odd House Brewing Company,The Odd House Brewing Company,5,330
Community Beer Pilsner,Åre Bryggcompagni,5,330
The Curse of Wafver,The Beer Factory Leksand,11.8,330
Viken Bryggeri,Viken Bryggeri,5.6,330
Barlingbo Bryggeri,Barlingbo Bryggeri,5.2,330
Mick & Jack,Bryggeri 1766,5.2,330
Alnöl,Alnöl,12,330
Nacka Belgo Quad,Nacka Bryggeri,10.6,330
Alingsås Honungsmjöd,Alingsås Bryggeri,10.5,330
Rödö Bryggeri Stout,Rödö Bryggeri AB,5.2,330
Kiruna Bryggeri,Kiruna Bryggeri,10.3,330
Madladdery,Madladdery,8,330
Torstad,Torstad B&D AB,58.5,500
Rudu Vitt,Två Liljor,11.5,375
To Øl,To Øl City,15.4,375
Åhus Vingård,Åhus Vingård,11,750
Höst,Bryggeriaktiebolaget Nya Victoria,4.1,330
Häxkitteln Ostara,The Odd House Brewing Company,5,330
Allsta,Allsta Bryggeri,6.5,330
Allsta,Allsta Bryggeri,5,330
Kosta Bryggeri,Kosta boda art hotel,4.5,330
Kosta Bryggeri,Kosta boda art hotel,5.8,330
Nerdbrewing,Molecule,11.5,330
DR design,DR design AB,5,330
Malmö Akvavit,Symposion International,38,500
BrewOre,BrewOre,5,330
Karman Brewing,Karman Brewing,6.3,330
Remmarlöv Julöl,Remmarlöv Gårdsbryggeri,5.9,330
Poppels Winter Ale,Poppels Bryggeri,6,330
Ölbryggeriet,Ölbryggeriet,5.9,330
Skelderwikens Winter Lager,Skelderwikens Brygghus,5.5,330
Edsviken,Håkan Granlund Consulting AB,5.9,330
Brygghuset Finn,Brygghuset Finn,10,330
Stallarholmen,Stallarholmens Brygghus,8.5,350
Madladdery,Madladdery,11,330
Madladdery,Madladdery,4.2,330
Bryggeri 1766,Bryggeri 1766,5.4,330
Helsing,Lottenlund Estate,43,500
Blacksta Brygghus,Josefin Lagerhorn,4.7,330
Västkust,Timjans Brygghus AB,6.7,330
Långmyre Restu,Boge Bränneri,43,500
Nerdbrewing,Molecule,11.2,330
Virunga,Gorilla Craft AB,40,500
Ellve Gin,Ellve destilleri,40,500
Kyflinge gin,Kyflinge gin AB,57,500
Lotima Noble,Lottenlund Estate,11,750
Helsing,Lottenlund Estate,43,500
Närke Kulturbryggeri,Närke Kulturbryggeri,11.2,250
Åre Bryggcompagni,Åre Bryggcompagni,4.8,330
Åre Bryggcompagni,Åre Bryggcompagni,4.8,330
Proton Brewery,Proton Brewery,6.4,330
Swallows & Spirits,Swallows & Spirits Destilleri AB,42,500
Åkerö,The Beer Factory Leksand,48,500
Häxkitteln,The Odd House Brewing Company,5,330
Vara Bryggeri,Vara Bryggeri & Bränneri,4.7,330
Flying Guru Brewery,Flying Guru Brewery,5.5,330
Smugha Bränneri,Smögen Destilleri,41,500
Arvika Bryggeri,Arvika Bryggeri AB,5.7,330
Arvika Bryggeri,Arvika Bryggeri AB,7.2,330
Bryggeri STÖR,Bryggeri STÖR,8.2,330
Lidköpings Bränneri,Lidköpings Bränneri AB,38,500
Madladdery,Madladdery,11,330
Gingin Distillery,Stenkällaren 1902 AB,41.5,500
Silkesvatten Vodka,Flying Guru Brewery,44,500
Claes-Göran,Vara Bryggeri & Bränneri,6.5,330
